Position,Hand,Hand Type,Recommended Action
UTG,AA,Premium,Raise (almost always)
UTG,KK,Premium,Raise (almost always)
UTG,QQ,Premium,Raise (almost always)
UTG,JJ,Strong,Raise (almost always)
UTG,TT,Strong,Raise (almost always)
UTG,AKs,Premium,Raise (almost always)
UTG,AKo,Premium,Raise (almost always)
UTG,AQs,Strong,Raise (almost always)
UTG,AQo,Strong,Raise (almost always)
UTG,AJs,Strong,Raise (almost always)
UTG,AJo,Strong,Raise (almost always)
UTG,ATs,Strong,Raise (almost always)
UTG,ATo,Marginal,Fold (too weak early)
UTG,KQs,Strong,Raise (almost always)
UTG,KQo,Marginal,Fold (too weak early)
UTG,KJs,Strong,Raise (almost always)
UTG,KJo,Marginal,Fold (too weak early)
UTG,QJs,Strong,Raise (almost always)
UTG,QJo,Marginal,Fold (too weak early)
UTG,JTs,Strong,Raise (almost always)
UTG,JTo,Marginal,Fold (too weak early)
MP,AA,Premium,Raise (almost always)
MP,KK,Premium,Raise (almost always)
MP,QQ,Premium,Raise (almost always)
MP,JJ,Strong,Raise (almost always)
MP,TT,Strong,Raise (almost always)
MP,99,Strong,Raise (almost always)
MP,88,Strong,Raise (almost always)
MP,AKs,Premium,Raise (almost always)
MP,AKo,Premium,Raise (almost always)
MP,AQs,Strong,Raise (almost always)
MP,AQo,Strong,Raise (almost always)
MP,AJs,Strong,Raise (almost always)
MP,AJo,Strong,Raise (almost always)
MP,ATs,Strong,Raise (almost always)
MP,ATo,Marginal,Call if folded to, fold to aggression
MP,A9s,Speculative,Raise (almost always)
MP,A9o,Marginal,Call if folded to, fold to aggression
MP,KQs,Strong,Raise (almost always)
MP,KQo,Marginal,Call if folded to, fold to aggression
MP,KJs,Strong,Raise (almost always)
MP,KJo,Marginal,Call if folded to, fold to aggression
MP,KTs,Speculative,Raise (almost always)
MP,KTo,Marginal,Call if folded to, fold to aggression
CO,AA,Premium,Raise (almost always)
CO,KK,Premium,Raise (almost always)
CO,QQ,Premium,Raise (almost always)
CO,JJ,Strong,Raise (almost always)
CO,TT,Strong,Raise (almost always)
CO,99,Strong,Raise (almost always)
CO,88,Strong,Raise (almost always)
CO,77,Strong,Raise (almost always)
CO,66,Strong,Raise (almost always)
CO,55,Strong,Raise (almost always)
CO,44,Strong,Raise (almost always)
CO,33,Strong,Raise (almost always)
CO,22,Strong,Raise (almost always)
CO,AKs,Premium,Raise (almost always)
CO,AKo,Premium,Raise (almost always)
CO,AQs,Strong,Raise (almost always)
CO,AQo,Strong,Raise (almost always)
CO,AJs,Strong,Raise (almost always)
CO,AJo,Strong,Raise (almost always)
CO,ATs,Strong,Raise (almost always)
CO,ATo,Strong,Raise (almost always)
CO,A9s,Strong,Raise (almost always)
CO,A9o,Marginal,Call if folded to, fold to aggression
CO,A8s,Strong,Raise (almost always)
CO,A8o,Marginal,Call if folded to, fold to aggression
CO,A7s,Strong,Raise (almost always)
CO,A7o,Marginal,Call if folded to, fold to aggression
CO,A6s,Strong,Raise (almost always)
CO,A6o,Marginal,Call if folded to, fold to aggression
CO,A5s,Strong,Raise (almost always)
CO,A5o,Marginal,Call if folded to, fold to aggression
CO,A4s,Strong,Raise (almost always)
CO,A4o,Marginal,Call if folded to, fold to aggression
CO,A3s,Strong,Raise (almost always)
CO,A3o,Marginal,Call if folded to, fold to aggression
CO,A2s,Strong,Raise (almost always)
CO,A2o,Marginal,Call if folded to, fold to aggression
BTN,AA,Premium,Raise (almost always)
BTN,KK,Premium,Raise (almost always)
BTN,QQ,Premium,Raise (almost always)
BTN,JJ,Strong,Raise (almost always)
BTN,TT,Strong,Raise (almost always)
BTN,99,Strong,Raise (almost always)
BTN,88,Strong,Raise (almost always)
BTN,77,Strong,Raise (almost always)
BTN,66,Strong,Raise (almost always)
BTN,55,Strong,Raise (almost always)
BTN,44,Strong,Raise (almost always)
BTN,33,Strong,Raise (almost always)
BTN,22,Strong,Raise (almost always)
BTN,AKs,Premium,Raise (almost always)
BTN,AKo,Premium,Raise (almost always)
BTN,AQs,Strong,Raise (almost always)
BTN,AQo,Strong,Raise (almost always)
BTN,AJs,Strong,Raise (almost always)
BTN,AJo,Strong,Raise (almost always)
BTN,ATs,Strong,Raise (almost always)
BTN,ATo,Strong,Raise (almost always)
BTN,A9s,Strong,Raise (almost always)
BTN,A9o,Strong,Raise (almost always)
BTN,A8s,Strong,Raise (almost always)
BTN,A8o,Strong,Raise (almost always)
BTN,A7s,Strong,Raise (almost always)
BTN,A7o,Strong,Raise (almost always)
BTN,A6s,Strong,Raise (almost always)
BTN,A6o,Strong,Raise (almost always)
BTN,A5s,Strong,Raise (almost always)
BTN,A5o,Strong,Raise (almost always)
BTN,A4s,Strong,Raise (almost always)
BTN,A4o,Strong,Raise (almost always)
BTN,A3s,Strong,Raise (almost always)
BTN,A3o,Strong,Raise (almost always)
BTN,A2s,Strong,Raise (almost always)
BTN,A2o,Strong,Raise (almost always)
SB,AA,Premium,Raise (almost always)
SB,KK,Premium,Raise (almost always)
SB,QQ,Premium,Raise (almost always)
SB,JJ,Strong,Raise (almost always)
SB,TT,Strong,Raise (almost always)
SB,99,Strong,Raise (almost always)
SB,88,Strong,Raise (almost always)
SB,77,Strong,Raise (almost always)
SB,66,Strong,Raise (almost always)
SB,55,Strong,Raise (almost always)
SB,44,Strong,Raise (almost always)
SB,33,Strong,Raise (almost always)
SB,22,Strong,Raise (almost always)
SB,AKs,Premium,Raise (almost always)
SB,AKo,Premium,Raise (almost always)
SB,AQs,Strong,Raise (almost always)
SB,AQo,Strong,Raise (almost always)
SB,AJs,Strong,Raise (almost always)
SB,ATs,Strong,Raise (almost always)
SB,A9s,Strong,Raise (almost always)
SB,A8s,Strong,Raise (almost always)
SB,A7s,Strong,Raise (almost always)
SB,A6s,Strong,Raise (almost always)
SB,A5s,Strong,Raise (almost always)
SB,A4s,Strong,Raise (almost always)
SB,A3s,Strong,Raise (almost always)
SB,A2s,Strong,Raise (almost always)
BB,AA,Premium,Raise (almost always)
BB,KK,Premium,Raise (almost always)
BB,QQ,Premium,Raise (almost always)
BB,JJ,Strong,Raise (almost always)
BB,TT,Strong,Raise (almost always)
BB,99,Strong,Raise (almost always)
BB,88,Strong,Raise (almost always)
BB,77,Strong,Raise (almost always)
BB,66,Strong,Raise (almost always)
BB,55,Strong,Raise (almost always)
BB,44,Strong,Raise (almost always)
BB,33,Strong,Raise (almost always)
BB,22,Strong,Raise (almost always)
BB,AKs,Premium,Raise (almost always)
BB,AKo,Premium,Raise (almost always)
BB,AQs,Strong,Raise (almost always)
BB,AQo,Strong,Raise (almost always)
BB,AJs,Strong,Raise (almost always)
BB,ATs,Strong,Raise (almost always)
BB,A9s,Strong,Raise (almost always)
BB,A8s,Strong,Raise (almost always)
BB,A7s,Strong,Raise (almost always)
BB,A6s,Strong,Raise (almost always)
BB,A5s,Strong,Raise (almost always)
BB,A4s,Strong,Raise (almost always)
BB,A3s,Strong,Raise (almost always)
BB,A2s,Strong,Raise (almost always) 
