Position,Flop,Board Texture,Your Hand Type,Recommended Action
MP,A♠ K♦ 7♣,Wet,Flush draw,"Semi-bluff on wet board, check-call on dry"
CO,3♣ 3♠ 3♦,Wet,Air,"Check-fold, maybe bluff on scare card"
BTN,J♦ 9♦ 4♦,Paired,Overpair,"Bet, check back some turns"
CO,K♣ Q♦ T♠,Dry,Top pair,"Bet for value, fold to big raise on wet board"
BB,9♣ 8♣ 7♣,Dry,Overpair,"Bet, check back some turns"
MP,J♦ 9♦ 4♦,Dry,Straight draw,"Semi-bluff on connected boards, check otherwise"
BTN,3♣ 3♠ 3♦,Connected,Bottom pair,"Check, rarely call a small bet"
MP,5♦ 5♣ K♥,Dry,Bottom pair,"Check, rarely call a small bet"
BB,A♠ K♦ 7♣,Monotone,Overpair,"Bet, check back some turns"
CO,5♦ 5♣ K♥,Wet,Flush draw,"Semi-bluff on wet board, check-call on dry"
BB,A♦ A♣ K♣,Monotone,Overpair,"Bet, check back some turns"
MP,J♦ 9♦ 4♦,Wet,Set,"Bet for value, consider raising vs bet"
CO,Q♠ 7♦ 2♣,Paired,Flush draw,"Semi-bluff on wet board, check-call on dry"
BTN,J♦ 9♦ 4♦,Connected,Straight draw,"Semi-bluff on connected boards, check otherwise"
SB,J♠ T♠ 2♦,Monotone,Flush draw,"Semi-bluff on wet board, check-call on dry"
BTN,K♣ Q♦ T♠,Monotone,Middle pair,"Check or small bet, fold to raise"
CO,J♠ T♠ 2♦,Wet,Straight draw,"Semi-bluff on connected boards, check otherwise"
BTN,Q♠ 7♦ 2♣,Monotone,Flush draw,"Semi-bluff on wet board, check-call on dry"
BTN,9♣ 8♣ 7♣,Dry,Bottom pair,"Check, rarely call a small bet"
CO,K♣ Q♦ T♠,Dry,Flush draw,"Semi-bluff on wet board, check-call on dry"
BTN,A♠ K♦ 7♣,Ace-high,Middle pair,"Check or small bet, fold to raise"
SB,3♣ 3♠ 3♦,Ace-high,Flush draw,"Semi-bluff on wet board, check-call on dry"
MP,9♣ 8♣ 7♣,Ace-high,Overpair,"Bet, check back some turns"
SB,5♦ 5♣ K♥,Paired,Bottom pair,"Check, rarely call a small bet"
SB,J♦ 9♦ 4♦,Wet,Overpair,"Bet, check back some turns"
