Position,Hand,Hand Type,Recommended Action
BTN,83o,Trash,Fold (unplayable)
UTG+1,JJ,Strong,"Call, fold to large 3-bet"
HJ,T9s,Speculative,Fold (not profitable OOP)
BTN,98s,Speculative,"Call if no raise, fold to raise"
BTN,QQ,Premium,Raise (almost always)
SB,87s,Speculative,"Call if no raise, fold to raise"
BB,98s,Speculative,"Call if no raise, fold to raise"
BTN,JJ,Strong,"Raise, call 3-bet in position"
BB,KTs,Speculative,"Call if no raise, fold to raise"
UTG,95o,Trash,Fold (unplayable)
MP,83o,Trash,Fold (unplayable)
CO,T3o,Trash,Fold (unplayable)
BB,TT,Strong,"Call, fold to large 3-bet"
CO,AA,Premium,Raise (almost always)
HJ,AKs,Premium,Raise (almost always)
SB,A5s,Speculative,"Call if no raise, fold to raise"
BB,TT,Strong,"Call, fold to large 3-bet"
HJ,KJo,Marginal,"Call if folded to, fold to aggression"
MP,KJo,Marginal,Fold (too weak early)
MP,AKs,Premium,Raise (almost always)
SB,QTo,Marginal,"Call if folded to, fold to aggression"
UTG,J9s,Marginal,Fold (too weak early)
MP,AA,Premium,Raise (almost always)
SB,AKs,Premium,Raise (almost always)
UTG,98s,Speculative,Fold (not profitable OOP)
MP,98s,Speculative,Fold (not profitable OOP)
BB,KTs,Speculative,"Call if no raise, fold to raise"
BTN,T9s,Speculative,"Call if no raise, fold to raise"
UTG+1,J4o,Trash,Fold (unplayable)
BB,AJs,Strong,"Call, fold to large 3-bet"
CO,95o,Trash,Fold (unplayable)
BB,KJo,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
BB,T3o,Trash,Fold (unplayable)
UTG+1,87s,Speculative,Fold (not profitable OOP)
UTG,87s,Speculative,Fold (not profitable OOP)
BTN,A9o,Marginal,"Call if folded to, fold to aggression"
UTG,98s,Speculative,Fold (not profitable OOP)
BB,AJs,Strong,"Call, fold to large 3-bet"
UTG+1,AKs,Premium,Raise (almost always)
SB,83o,Trash,Fold (unplayable)
BTN,83o,Trash,Fold (unplayable)
SB,AJs,Strong,"Raise, call 3-bet in position"
HJ,T9s,Speculative,Fold (not profitable OOP)
BTN,KJo,Marginal,"Call if folded to, fold to aggression"
BTN,AKs,Premium,Raise (almost always)
CO,AJs,Strong,"Raise, call 3-bet in position"
SB,KJo,Marginal,"Call if folded to, fold to aggression"
HJ,KJo,Marginal,"Call if folded to, fold to aggression"
UTG+1,98s,Speculative,Fold (not profitable OOP)
BTN,72o,Trash,Fold (unplayable)
SB,J9s,Marginal,"Call if folded to, fold to aggression"
BTN,T3o,Trash,Fold (unplayable)
UTG,T3o,Trash,Fold (unplayable)
UTG+1,T3o,Trash,Fold (unplayable)
UTG,95o,Trash,Fold (unplayable)
UTG+1,J9s,Marginal,Fold (too weak early)
CO,AA,Premium,Raise (almost always)
HJ,AJs,Strong,"Call, fold to large 3-bet"
SB,JJ,Strong,"Raise, call 3-bet in position"
BB,KTs,Speculative,"Call if no raise, fold to raise"
HJ,TT,Strong,"Call, fold to large 3-bet"
CO,87s,Speculative,Fold (not profitable OOP)
SB,95o,Trash,Fold (unplayable)
CO,AKs,Premium,Raise (almost always)
BTN,KK,Premium,Raise (almost always)
CO,AA,Premium,Raise (almost always)
MP,72o,Trash,Fold (unplayable)
SB,22,Marginal,"Call if folded to, fold to aggression"
UTG,AA,Premium,Raise (almost always)
BB,AA,Premium,Raise (almost always)
BB,22,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
CO,A5s,Speculative,Fold (not profitable OOP)
HJ,QQ,Premium,Raise (almost always)
UTG+1,QQ,Premium,Raise (almost always)
BB,AJs,Strong,"Call, fold to large 3-bet"
MP,AQs,Strong,"Call, fold to large 3-bet"
HJ,J4o,Trash,Fold (unplayable)
MP,AJs,Strong,"Call, fold to large 3-bet"
BB,87s,Speculative,"Call if no raise, fold to raise"
BTN,T3o,Trash,Fold (unplayable)
UTG,JJ,Strong,"Call, fold to large 3-bet"
MP,AJs,Strong,"Call, fold to large 3-bet"
BB,JJ,Strong,"Call, fold to large 3-bet"
BTN,AKs,Premium,Raise (almost always)
UTG,A9o,Marginal,Fold (too weak early)
UTG,QQ,Premium,Raise (almost always)
BB,T9s,Speculative,"Call if no raise, fold to raise"
BB,AJs,Strong,"Call, fold to large 3-bet"
