Position,Hand,Hand Type,Recommended Action
HJ,72o,Trash,Fold (unplayable)
BB,A9o,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
CO,AA,Premium,Raise (almost always)
BTN,AJs,Strong,"Raise, call 3-bet in position"
UTG+1,AQs,Strong,"Call, fold to large 3-bet"
BTN,A5s,Speculative,"Call if no raise, fold to raise"
CO,J9s,Marginal,"Call if folded to, fold to aggression"
UTG+1,AKs,Premium,Raise (almost always)
BTN,T9s,Speculative,"Call if no raise, fold to raise"
UTG+1,QQ,Premium,Raise (almost always)
SB,QQ,Premium,Raise (almost always)
SB,JJ,Strong,"Raise, call 3-bet in position"
SB,95o,Trash,Fold (unplayable)
UTG+1,AKs,Premium,Raise (almost always)
MP,QTo,Marginal,Fold (too weak early)
BTN,AA,Premium,Raise (almost always)
CO,22,Marginal,"Call if folded to, fold to aggression"
UTG+1,T3o,Trash,Fold (unplayable)
BTN,A5s,Speculative,"Call if no raise, fold to raise"
SB,AKs,Premium,Raise (almost always)
MP,A9o,Marginal,Fold (too weak early)
MP,83o,Trash,Fold (unplayable)
CO,98s,Speculative,Fold (not profitable OOP)
BB,AQs,Strong,"Call, fold to large 3-bet"
MP,AJs,Strong,"Call, fold to large 3-bet"
MP,83o,Trash,Fold (unplayable)
HJ,A9o,Marginal,"Call if folded to, fold to aggression"
UTG,T3o,Trash,Fold (unplayable)
CO,QQ,Premium,Raise (almost always)
MP,72o,Trash,Fold (unplayable)
SB,83o,Trash,Fold (unplayable)
HJ,T3o,Trash,Fold (unplayable)
SB,J9s,Marginal,"Call if folded to, fold to aggression"
UTG,KTs,Speculative,Fold (not profitable OOP)
UTG+1,KJo,Marginal,Fold (too weak early)
SB,KK,Premium,Raise (almost always)
SB,T3o,Trash,Fold (unplayable)
BTN,QTo,Marginal,"Call if folded to, fold to aggression"
UTG+1,AQs,Strong,"Call, fold to large 3-bet"
BB,T3o,Trash,Fold (unplayable)
CO,KJo,Marginal,"Call if folded to, fold to aggression"
MP,QTo,Marginal,Fold (too weak early)
MP,J9s,Marginal,Fold (too weak early)
BTN,KJo,Marginal,"Call if folded to, fold to aggression"
MP,KTs,Speculative,Fold (not profitable OOP)
CO,A9o,Marginal,"Call if folded to, fold to aggression"
SB,AJs,Strong,"Raise, call 3-bet in position"
UTG,KTs,Speculative,Fold (not profitable OOP)
CO,KJo,Marginal,"Call if folded to, fold to aggression"
MP,T9s,Speculative,Fold (not profitable OOP)
SB,72o,Trash,Fold (unplayable)
SB,98s,Speculative,"Call if no raise, fold to raise"
CO,83o,Trash,Fold (unplayable)
SB,KJo,Marginal,"Call if folded to, fold to aggression"
HJ,JJ,Strong,"Call, fold to large 3-bet"
BTN,JJ,Strong,"Raise, call 3-bet in position"
SB,AJs,Strong,"Raise, call 3-bet in position"
BTN,KQs,Strong,"Raise, call 3-bet in position"
BB,A5s,Speculative,"Call if no raise, fold to raise"
MP,AJs,Strong,"Call, fold to large 3-bet"
UTG+1,AJs,Strong,"Call, fold to large 3-bet"
UTG+1,T3o,Trash,Fold (unplayable)
UTG,QQ,Premium,Raise (almost always)
BB,KK,Premium,Raise (almost always)
CO,JJ,Strong,"Raise, call 3-bet in position"
CO,AA,Premium,Raise (almost always)
BTN,J4o,Trash,Fold (unplayable)
CO,KTs,Speculative,Fold (not profitable OOP)
UTG+1,T9s,Speculative,Fold (not profitable OOP)
UTG+1,KQs,Strong,"Call, fold to large 3-bet"
HJ,KJo,Marginal,"Call if folded to, fold to aggression"
SB,TT,Strong,"Raise, call 3-bet in position"
SB,AJs,Strong,"Raise, call 3-bet in position"
CO,A9o,Marginal,"Call if folded to, fold to aggression"
HJ,AJs,Strong,"Call, fold to large 3-bet"
HJ,A9o,Marginal,"Call if folded to, fold to aggression"
HJ,QQ,Premium,Raise (almost always)
SB,QQ,Premium,Raise (almost always)
SB,AJs,Strong,"Raise, call 3-bet in position"
BB,KJo,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
SB,AA,Premium,Raise (almost always)
HJ,A9o,Marginal,"Call if folded to, fold to aggression"
HJ,AKs,Premium,Raise (almost always)
UTG+1,95o,Trash,Fold (unplayable)
CO,AJs,Strong,"Raise, call 3-bet in position"
CO,JJ,Strong,"Raise, call 3-bet in position"
CO,KTs,Speculative,Fold (not profitable OOP)
UTG,A9o,Marginal,Fold (too weak early)
BB,T3o,Trash,Fold (unplayable)
UTG,A9o,Marginal,Fold (too weak early)
BTN,J4o,Trash,Fold (unplayable)
BB,T3o,Trash,Fold (unplayable)
UTG+1,AA,Premium,Raise (almost always)
HJ,T3o,Trash,Fold (unplayable)
UTG+1,72o,Trash,Fold (unplayable)
BTN,AQs,Strong,"Raise, call 3-bet in position"
SB,QQ,Premium,Raise (almost always)
UTG,AQs,Strong,"Call, fold to large 3-bet"
BB,A9o,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
HJ,72o,Trash,Fold (unplayable)
HJ,83o,Trash,Fold (unplayable)
SB,KK,Premium,Raise (almost always)
BB,T9s,Speculative,"Call if no raise, fold to raise"
CO,JJ,Strong,"Raise, call 3-bet in position"
UTG+1,22,Marginal,Fold (too weak early)
SB,72o,Trash,Fold (unplayable)
UTG,KJo,Marginal,Fold (too weak early)
HJ,AQs,Strong,"Call, fold to large 3-bet"
HJ,95o,Trash,Fold (unplayable)
HJ,AKs,Premium,Raise (almost always)
UTG,A9o,Marginal,Fold (too weak early)
UTG,AA,Premium,Raise (almost always)
BTN,22,Marginal,"Call if folded to, fold to aggression"
HJ,KQs,Strong,"Call, fold to large 3-bet"
MP,KQs,Strong,"Call, fold to large 3-bet"
CO,AA,Premium,Raise (almost always)
CO,AJs,Strong,"Raise, call 3-bet in position"
UTG+1,AQs,Strong,"Call, fold to large 3-bet"
SB,TT,Strong,"Raise, call 3-bet in position"
BB,AKs,Premium,Raise (almost always)
MP,A9o,Marginal,Fold (too weak early)
SB,AA,Premium,Raise (almost always)
MP,T9s,Speculative,Fold (not profitable OOP)
MP,KK,Premium,Raise (almost always)
MP,QTo,Marginal,Fold (too weak early)
SB,AKs,Premium,Raise (almost always)
HJ,AQs,Strong,"Call, fold to large 3-bet"
SB,A9o,Marginal,"Call if folded to, fold to aggression"
SB,KK,Premium,Raise (almost always)
MP,T3o,Trash,Fold (unplayable)
HJ,T9s,Speculative,Fold (not profitable OOP)
HJ,TT,Strong,"Call, fold to large 3-bet"
CO,J4o,Trash,Fold (unplayable)
MP,KTs,Speculative,Fold (not profitable OOP)
UTG,J4o,Trash,Fold (unplayable)
UTG+1,95o,Trash,Fold (unplayable)
CO,98s,Speculative,Fold (not profitable OOP)
MP,AKs,Premium,Raise (almost always)
SB,T3o,Trash,Fold (unplayable)
MP,QQ,Premium,Raise (almost always)
UTG,KTs,Speculative,Fold (not profitable OOP)
UTG,J9s,Marginal,Fold (too weak early)
UTG+1,KJo,Marginal,Fold (too weak early)
SB,JJ,Strong,"Raise, call 3-bet in position"
SB,QQ,Premium,Raise (almost always)
HJ,A5s,Speculative,Fold (not profitable OOP)
HJ,83o,Trash,Fold (unplayable)
BTN,KJo,Marginal,"Call if folded to, fold to aggression"
MP,AA,Premium,Raise (almost always)
CO,95o,Trash,Fold (unplayable)
UTG+1,83o,Trash,Fold (unplayable)
UTG+1,95o,Trash,Fold (unplayable)
BTN,J4o,Trash,Fold (unplayable)
BB,J9s,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
BTN,95o,Trash,Fold (unplayable)
MP,T3o,Trash,Fold (unplayable)
HJ,AJs,Strong,"Call, fold to large 3-bet"
HJ,KJo,Marginal,"Call if folded to, fold to aggression"
CO,KTs,Speculative,Fold (not profitable OOP)
UTG,QTo,Marginal,Fold (too weak early)
CO,KK,Premium,Raise (almost always)
UTG+1,A5s,Speculative,Fold (not profitable OOP)
CO,AKs,Premium,Raise (almost always)
UTG+1,83o,Trash,Fold (unplayable)
UTG+1,83o,Trash,Fold (unplayable)
CO,KJo,Marginal,"Call if folded to, fold to aggression"
MP,KTs,Speculative,Fold (not profitable OOP)
CO,87s,Speculative,Fold (not profitable OOP)
SB,AA,Premium,Raise (almost always)
BB,KTs,Speculative,"Call if no raise, fold to raise"
UTG+1,TT,Strong,"Call, fold to large 3-bet"
MP,AKs,Premium,Raise (almost always)
HJ,87s,Speculative,Fold (not profitable OOP)
CO,72o,Trash,Fold (unplayable)
HJ,J4o,Trash,Fold (unplayable)
BTN,A5s,Speculative,"Call if no raise, fold to raise"
MP,T9s,Speculative,Fold (not profitable OOP)
BB,QQ,Premium,Raise (almost always)
UTG+1,A9o,Marginal,Fold (too weak early)
UTG+1,KTs,Speculative,Fold (not profitable OOP)
BTN,87s,Speculative,"Call if no raise, fold to raise"
UTG+1,98s,Speculative,Fold (not profitable OOP)
MP,AKs,Premium,Raise (almost always)
BTN,KQs,Strong,"Raise, call 3-bet in position"
UTG,83o,Trash,Fold (unplayable)
HJ,87s,Speculative,Fold (not profitable OOP)
SB,AA,Premium,Raise (almost always)
BB,AKs,Premium,Raise (almost always)
BTN,T9s,Speculative,"Call if no raise, fold to raise"
BB,KJo,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
UTG,95o,Trash,Fold (unplayable)
SB,KK,Premium,Raise (almost always)
BB,AA,Premium,Raise (almost always)
MP,AKs,Premium,Raise (almost always)
MP,95o,Trash,Fold (unplayable)
MP,AKs,Premium,Raise (almost always)
MP,22,Marginal,Fold (too weak early)
HJ,J4o,Trash,Fold (unplayable)
BB,87s,Speculative,"Call if no raise, fold to raise"
MP,J4o,Trash,Fold (unplayable)
UTG,KJo,Marginal,Fold (too weak early)
MP,AKs,Premium,Raise (almost always)
BTN,87s,Speculative,"Call if no raise, fold to raise"
UTG,98s,Speculative,Fold (not profitable OOP)
BB,83o,Trash,Fold (unplayable)
SB,T3o,Trash,Fold (unplayable)
BTN,AQs,Strong,"Raise, call 3-bet in position"
BTN,TT,Strong,"Raise, call 3-bet in position"
UTG+1,QQ,Premium,Raise (almost always)
BTN,KJo,Marginal,"Call if folded to, fold to aggression"
UTG+1,83o,Trash,Fold (unplayable)
BTN,J4o,Trash,Fold (unplayable)
SB,KJo,Marginal,"Call if folded to, fold to aggression"
UTG,AQs,Strong,"Call, fold to large 3-bet"
BTN,JJ,Strong,"Raise, call 3-bet in position"
BTN,J4o,Trash,Fold (unplayable)
BTN,TT,Strong,"Raise, call 3-bet in position"
MP,J9s,Marginal,Fold (too weak early)
UTG+1,JJ,Strong,"Call, fold to large 3-bet"
MP,J4o,Trash,Fold (unplayable)
UTG,KQs,Strong,"Call, fold to large 3-bet"
UTG+1,J9s,Marginal,Fold (too weak early)
UTG+1,JJ,Strong,"Call, fold to large 3-bet"
BTN,72o,Trash,Fold (unplayable)
SB,J4o,Trash,Fold (unplayable)
UTG+1,QQ,Premium,Raise (almost always)
MP,TT,Strong,"Call, fold to large 3-bet"
MP,95o,Trash,Fold (unplayable)
UTG+1,AQs,Strong,"Call, fold to large 3-bet"
SB,A9o,Marginal,"Call if folded to, fold to aggression"
UTG,AA,Premium,Raise (almost always)
BTN,JJ,Strong,"Raise, call 3-bet in position"
UTG+1,KK,Premium,Raise (almost always)
HJ,J9s,Marginal,"Call if folded to, fold to aggression"
CO,KQs,Strong,"Raise, call 3-bet in position"
BTN,22,Marginal,"Call if folded to, fold to aggression"
BTN,AA,Premium,Raise (almost always)
UTG,AJs,Strong,"Call, fold to large 3-bet"
BB,KK,Premium,Raise (almost always)
UTG,KK,Premium,Raise (almost always)
CO,TT,Strong,"Raise, call 3-bet in position"
BB,KJo,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
HJ,AA,Premium,Raise (almost always)
BTN,J4o,Trash,Fold (unplayable)
BB,95o,Trash,Fold (unplayable)
HJ,J4o,Trash,Fold (unplayable)
CO,AQs,Strong,"Raise, call 3-bet in position"
BTN,QQ,Premium,Raise (almost always)
MP,QQ,Premium,Raise (almost always)
BB,J9s,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
SB,QTo,Marginal,"Call if folded to, fold to aggression"
UTG+1,J4o,Trash,Fold (unplayable)
MP,A9o,Marginal,Fold (too weak early)
CO,A5s,Speculative,Fold (not profitable OOP)
UTG+1,83o,Trash,Fold (unplayable)
UTG+1,AQs,Strong,"Call, fold to large 3-bet"
MP,J9s,Marginal,Fold (too weak early)
BTN,JJ,Strong,"Raise, call 3-bet in position"
HJ,T9s,Speculative,Fold (not profitable OOP)
HJ,98s,Speculative,Fold (not profitable OOP)
BTN,AQs,Strong,"Raise, call 3-bet in position"
HJ,J9s,Marginal,"Call if folded to, fold to aggression"
UTG+1,95o,Trash,Fold (unplayable)
UTG,QQ,Premium,Raise (almost always)
SB,AKs,Premium,Raise (almost always)
UTG,J9s,Marginal,Fold (too weak early)
SB,A5s,Speculative,"Call if no raise, fold to raise"
UTG,KQs,Strong,"Call, fold to large 3-bet"
UTG,AKs,Premium,Raise (almost always)
HJ,JJ,Strong,"Call, fold to large 3-bet"
BTN,QQ,Premium,Raise (almost always)
HJ,T9s,Speculative,Fold (not profitable OOP)
BB,22,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
BB,KTs,Speculative,"Call if no raise, fold to raise"
UTG,KK,Premium,Raise (almost always)
BB,A9o,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
HJ,95o,Trash,Fold (unplayable)
HJ,KJo,Marginal,"Call if folded to, fold to aggression"
BTN,QQ,Premium,Raise (almost always)
SB,A9o,Marginal,"Call if folded to, fold to aggression"
BTN,A5s,Speculative,"Call if no raise, fold to raise"
UTG+1,KJo,Marginal,Fold (too weak early)
MP,87s,Speculative,Fold (not profitable OOP)
SB,A9o,Marginal,"Call if folded to, fold to aggression"
BTN,JJ,Strong,"Raise, call 3-bet in position"
HJ,98s,Speculative,Fold (not profitable OOP)
BTN,AKs,Premium,Raise (almost always)
MP,T3o,Trash,Fold (unplayable)
BB,83o,Trash,Fold (unplayable)
SB,KJo,Marginal,"Call if folded to, fold to aggression"
MP,TT,Strong,"Call, fold to large 3-bet"
UTG,A9o,Marginal,Fold (too weak early)
MP,J4o,Trash,Fold (unplayable)
MP,KQs,Strong,"Call, fold to large 3-bet"
BB,83o,Trash,Fold (unplayable)
BTN,A5s,Speculative,"Call if no raise, fold to raise"
CO,QTo,Marginal,"Call if folded to, fold to aggression"
BB,A5s,Speculative,"Call if no raise, fold to raise"
SB,A5s,Speculative,"Call if no raise, fold to raise"
UTG+1,72o,Trash,Fold (unplayable)
UTG+1,J9s,Marginal,Fold (too weak early)
UTG,KK,Premium,Raise (almost always)
HJ,83o,Trash,Fold (unplayable)
HJ,J4o,Trash,Fold (unplayable)
HJ,J9s,Marginal,"Call if folded to, fold to aggression"
CO,TT,Strong,"Raise, call 3-bet in position"
CO,QTo,Marginal,"Call if folded to, fold to aggression"
UTG,AA,Premium,Raise (almost always)
BB,T9s,Speculative,"Call if no raise, fold to raise"
MP,AA,Premium,Raise (almost always)
BTN,QTo,Marginal,"Call if folded to, fold to aggression"
MP,AKs,Premium,Raise (almost always)
MP,KJo,Marginal,Fold (too weak early)
CO,J4o,Trash,Fold (unplayable)
SB,QQ,Premium,Raise (almost always)
BB,A5s,Speculative,"Call if no raise, fold to raise"
BB,AA,Premium,Raise (almost always)
UTG+1,AJs,Strong,"Call, fold to large 3-bet"
MP,A5s,Speculative,Fold (not profitable OOP)
UTG,T3o,Trash,Fold (unplayable)
UTG+1,KQs,Strong,"Call, fold to large 3-bet"
MP,AQs,Strong,"Call, fold to large 3-bet"
HJ,87s,Speculative,Fold (not profitable OOP)
HJ,72o,Trash,Fold (unplayable)
SB,83o,Trash,Fold (unplayable)
UTG+1,KJo,Marginal,Fold (too weak early)
UTG,AQs,Strong,"Call, fold to large 3-bet"
MP,QQ,Premium,Raise (almost always)
UTG+1,TT,Strong,"Call, fold to large 3-bet"
MP,87s,Speculative,Fold (not profitable OOP)
HJ,87s,Speculative,Fold (not profitable OOP)
SB,A9o,Marginal,"Call if folded to, fold to aggression"
SB,72o,Trash,Fold (unplayable)
HJ,KJo,Marginal,"Call if folded to, fold to aggression"
UTG+1,87s,Speculative,Fold (not profitable OOP)
MP,TT,Strong,"Call, fold to large 3-bet"
BTN,T9s,Speculative,"Call if no raise, fold to raise"
HJ,83o,Trash,Fold (unplayable)
UTG,TT,Strong,"Call, fold to large 3-bet"
UTG,J4o,Trash,Fold (unplayable)
MP,KJo,Marginal,Fold (too weak early)
SB,AKs,Premium,Raise (almost always)
BTN,98s,Speculative,"Call if no raise, fold to raise"
SB,AKs,Premium,Raise (almost always)
CO,JJ,Strong,"Raise, call 3-bet in position"
HJ,QTo,Marginal,"Call if folded to, fold to aggression"
BTN,TT,Strong,"Raise, call 3-bet in position"
CO,87s,Speculative,Fold (not profitable OOP)
CO,KTs,Speculative,Fold (not profitable OOP)
BB,QTo,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
MP,T3o,Trash,Fold (unplayable)
BB,98s,Speculative,"Call if no raise, fold to raise"
BTN,AJs,Strong,"Raise, call 3-bet in position"
CO,T9s,Speculative,Fold (not profitable OOP)
BB,87s,Speculative,"Call if no raise, fold to raise"
MP,AJs,Strong,"Call, fold to large 3-bet"
BB,95o,Trash,Fold (unplayable)
BTN,J9s,Marginal,"Call if folded to, fold to aggression"
UTG+1,J9s,Marginal,Fold (too weak early)
SB,KTs,Speculative,"Call if no raise, fold to raise"
BB,T9s,Speculative,"Call if no raise, fold to raise"
HJ,J4o,Trash,Fold (unplayable)
MP,KK,Premium,Raise (almost always)
HJ,98s,Speculative,Fold (not profitable OOP)
BB,T3o,Trash,Fold (unplayable)
BTN,87s,Speculative,"Call if no raise, fold to raise"
BB,QQ,Premium,Raise (almost always)
BTN,95o,Trash,Fold (unplayable)
BTN,AA,Premium,Raise (almost always)
BTN,KK,Premium,Raise (almost always)
SB,A9o,Marginal,"Call if folded to, fold to aggression"
BB,95o,Trash,Fold (unplayable)
UTG,KJo,Marginal,Fold (too weak early)
HJ,T3o,Trash,Fold (unplayable)
BTN,72o,Trash,Fold (unplayable)
UTG,T9s,Speculative,Fold (not profitable OOP)
CO,AQs,Strong,"Raise, call 3-bet in position"
SB,72o,Trash,Fold (unplayable)
SB,95o,Trash,Fold (unplayable)
MP,T3o,Trash,Fold (unplayable)
UTG+1,A5s,Speculative,Fold (not profitable OOP)
UTG,98s,Speculative,Fold (not profitable OOP)
UTG,KK,Premium,Raise (almost always)
MP,J9s,Marginal,Fold (too weak early)
BB,AKs,Premium,Raise (almost always)
BTN,AQs,Strong,"Raise, call 3-bet in position"
BB,J4o,Trash,Fold (unplayable)
UTG,A5s,Speculative,Fold (not profitable OOP)
UTG+1,TT,Strong,"Call, fold to large 3-bet"
BTN,AQs,Strong,"Raise, call 3-bet in position"
CO,AQs,Strong,"Raise, call 3-bet in position"
CO,J9s,Marginal,"Call if folded to, fold to aggression"
UTG+1,83o,Trash,Fold (unplayable)
UTG+1,TT,Strong,"Call, fold to large 3-bet"
UTG+1,AA,Premium,Raise (almost always)
BTN,KK,Premium,Raise (almost always)
UTG,KTs,Speculative,Fold (not profitable OOP)
BTN,A9o,Marginal,"Call if folded to, fold to aggression"
SB,A9o,Marginal,"Call if folded to, fold to aggression"
UTG+1,J4o,Trash,Fold (unplayable)
MP,AA,Premium,Raise (almost always)
UTG,TT,Strong,"Call, fold to large 3-bet"
UTG+1,A5s,Speculative,Fold (not profitable OOP)
BTN,AKs,Premium,Raise (almost always)
CO,KK,Premium,Raise (almost always)
BTN,QTo,Marginal,"Call if folded to, fold to aggression"
HJ,KTs,Speculative,Fold (not profitable OOP)
SB,KTs,Speculative,"Call if no raise, fold to raise"
UTG+1,A9o,Marginal,Fold (too weak early)
SB,95o,Trash,Fold (unplayable)
BB,JJ,Strong,"Call, fold to large 3-bet"
UTG,QTo,Marginal,Fold (too weak early)
HJ,KTs,Speculative,Fold (not profitable OOP)
HJ,22,Marginal,"Call if folded to, fold to aggression"
MP,T3o,Trash,Fold (unplayable)
MP,AA,Premium,Raise (almost always)
BB,JJ,Strong,"Call, fold to large 3-bet"
SB,T3o,Trash,Fold (unplayable)
CO,72o,Trash,Fold (unplayable)
SB,A9o,Marginal,"Call if folded to, fold to aggression"
UTG+1,AJs,Strong,"Call, fold to large 3-bet"
SB,QTo,Marginal,"Call if folded to, fold to aggression"
HJ,KJo,Marginal,"Call if folded to, fold to aggression"
UTG+1,87s,Speculative,Fold (not profitable OOP)
UTG+1,KJo,Marginal,Fold (too weak early)
